 id,expected,predicted,score,reasons 
"phish_bank_1","suspicious","suspicious","0.8872","Transformer label: NEGATIVE (0.99) | Keywords: verify, account, login, bank | Found 1 URL(s) | Message length: 20 words | Conversational tone detected → lowered suspicion"
"phish_otp_1","suspicious","suspicious","0.822","Transformer label: NEGATIVE (0.99) | Keywords: confirm, otp | Invoice/payment keywords detected -> boost | OTP-like code detected: 492810 | Message length: 20 words | Conversational tone detected → lowered suspicion"
"phish_invoice_1","suspicious","suspicious","0.6003","Transformer label: NEGATIVE (0.97) | Keywords: invoice | Invoice/payment keywords detected -> boost | Message length: 14 words | Conversational tone detected → lowered suspicion"
"phish_cloud_1","suspicious","suspicious","0.7435","Transformer label: NEGATIVE (0.99) | Keywords: click | Found 1 URL(s) | OTP-like code detected: 2345 | Message length: 13 words | Conversational tone detected → lowered suspicion"
"phish_hr_1","suspicious","suspicious","0.8653","Transformer label: NEGATIVE (1.00) | Keywords: login, update | Found 1 URL(s) | Invoice/payment keywords detected -> boost | Message length: 18 words | Conversational tone detected → lowered suspicion"
"benign_meeting_1","benign","benign","0.0027","Transformer label: POSITIVE (1.00) | Keywords: confirm | Message length: 20 words | Conversational tone detected → lowered suspicion"
"benign_newsletter_1","benign","benign","0.0003","Transformer label: POSITIVE (1.00) | Keywords: click | Message length: 15 words | Conversational tone detected → lowered suspicion"
"phish_subscription_1","suspicious","suspicious","0.8677","Transformer label: NEGATIVE (1.00) | Keywords: update, billing | Found 1 URL(s) | Invoice/payment keywords detected -> boost | Message length: 14 words | Conversational tone detected → lowered suspicion"
"benign_personal_1","benign","benign","0.5927","Transformer label: NEGATIVE (0.99) | Message length: 18 words | Conversational tone detected → lowered suspicion"
"phish_security_1","suspicious","suspicious","0.8903","Transformer label: NEGATIVE (1.00) | Keywords: account, password, reset, security alert | Found 1 URL(s) | Message length: 16 words | Conversational tone detected → lowered suspicion"
"adv_paraphrase_1","suspicious","suspicious","0.8886","Transformer label: NEGATIVE (0.99) | Keywords: verify, account, login, bank | Found 1 URL(s) | Message length: 13 words | Conversational tone detected → lowered suspicion"
"adv_paraphrase_2","suspicious","suspicious","0.675","Transformer label: NEGATIVE (0.99) | Keywords: confirm | Invoice/payment keywords detected -> boost | OTP-like code detected: 492810 | Message length: 16 words | Conversational tone detected → lowered suspicion"
"adv_paraphrase_3","suspicious","suspicious","0.7674","Transformer label: NEGATIVE (1.00) | Keywords: click, invoice | Invoice/payment keywords detected -> boost | Message length: 14 words | Conversational tone detected → lowered suspicion"
"adv_paraphrase_4","suspicious","suspicious","0.6935","Transformer label: NEGATIVE (0.99) | Found 1 URL(s) | OTP-like code detected: 2345 | Message length: 12 words"
"adv_paraphrase_5","suspicious","suspicious","0.7622","Transformer label: NEGATIVE (0.99) | Keywords: update, bank | Invoice/payment keywords detected -> boost | Message length: 15 words | Conversational tone detected → lowered suspicion"
